max,min,CPF,ICRO,STO,Rand
236.2923,143.826,0.6362,0.6592,0.8336,0.8124
219.1782,134.8977,0.6634,0.7609,0.6637,0.9473
247.5828,153.9208,0.599,0.6981,0.6008,0.7084
232.4918,139.9713,0.6925,0.5831,0.6868,0.7988
213.2699,113.5669,0.6433,0.753,0.7096,0.9053
233.0643,134.3075,0.6323,0.679,0.6576,0.7389
231.1536,133.1976,0.5356,0.7214,0.6193,0.8182
222.1194,108.9261,0.6951,0.6304,0.5924,0.9604
237.7451,137.1901,0.6985,0.4635,0.6109,0.792
253.2498,144.4921,0.6515,0.6719,0.68,0.7353
198.5029,108.5862,0.643,0.6558,0.7128,0.8808
240.133,141.1469,0.6328,0.7378,0.6414,0.803
219.1637,118.4085,0.6527,0.6764,0.6121,0.6789
218.5386,125.6584,0.6321,0.6379,0.6272,0.6634
225.4766,122.4844,0.4921,0.6812,0.6286,0.8898
237.685,149.4999,0.6381,0.7416,0.8304,0.818
246.1016,134.747,0.5298,0.6389,0.546,0.8364
231.6487,136.0397,0.6417,0.7275,0.8032,0.8394
215.7307,121.5133,0.6252,0.6692,0.6893,0.8173
248.4561,152.0208,0.6637,0.5878,0.6255,0.8114
245.5825,149.6178,0.644,0.58,0.6449,0.843
244.758,146.6921,0.5923,0.6878,0.673,0.7572
208.3137,124.871,0.7578,0.737,0.7091,0.7712
241.1347,134.6632,0.6895,0.695,0.5204,0.7977
227.4171,134.0952,0.6867,0.7092,0.6407,0.8722
257.7735,157.2919,0.603,0.6003,0.6062,0.7065
201.4102,103.591,0.6638,0.6991,0.7,0.899
245.0994,142.1565,0.6333,0.6661,0.6378,0.7682
216.2368,123.3096,0.6261,0.6827,0.6661,0.9064
190.4681,105.0674,0.7375,0.667,0.7042,0.8432
232.0041,143.1368,0.6068,0.6809,0.6445,0.8858
226.9734,134.351,0.7099,0.7295,0.6005,0.8409
226.1324,126.6672,0.6994,0.6319,0.5948,0.7619
206.9011,110.8829,0.716,0.6161,0.6076,0.786
214.0615,113.7256,0.668,0.7637,0.6449,0.739
251.6101,149.8197,0.6426,0.596,0.6426,0.8534
229.0694,139.7085,0.6697,0.6415,0.6809,0.951
211.9887,120.2129,0.7226,0.6703,0.6564,0.7902
238.3959,147.3071,0.6403,0.7895,0.5584,0.8418
189.7294,105.8958,0.689,0.7942,0.6365,0.8521
204.0657,119.0889,0.6437,0.7622,0.7048,0.8292
213.5968,128.9113,0.6244,0.8331,0.6999,0.8583
244.1123,146.6416,0.6591,0.6539,0.5662,0.7606
234.1744,131.6565,0.6729,0.5714,0.562,0.842
235.2691,146.8286,0.6527,0.6124,0.5859,0.8885
238.6405,134.5798,0.7024,0.565,0.7381,0.9221
226.4145,121.5439,0.5138,0.6536,0.621,0.8986
249.9171,152.1709,0.5112,0.6028,0.6162,0.9389
202.7941,109.0255,0.6654,0.5583,0.6875,0.8013
226.508,140.1511,0.6428,0.6365,0.6357,0.8097
211.1214,125.6259,0.6293,0.493,0.5984,0.8347
248.034,143.2555,0.5547,0.6614,0.5592,0.8526
235.5685,139.6502,0.6811,0.7559,0.7032,0.7138
211.2594,118.1953,0.7681,0.723,0.6799,0.7775
243.2057,136.2973,0.5946,0.711,0.5341,0.6944
236.0161,144.262,0.5838,0.6293,0.5887,0.9158
204.9662,118.2575,0.6949,0.6373,0.6003,0.6984
243.2053,144.6764,0.6714,0.8027,0.6639,0.884
262.7791,165.3316,0.6942,0.6158,0.6687,0.8095
240.7344,149.8445,0.5954,0.6813,0.6744,0.7561
232.1862,131.4393,0.6748,0.7615,0.7622,0.8876
229.2371,138.6959,0.6847,0.754,0.6527,0.7497
221.0072,128.8306,0.6756,0.7305,0.6392,0.7981
209.4304,113.5941,0.6255,0.6813,0.6682,0.8845
225.3063,132.2012,0.5307,0.6969,0.5611,0.7146
223.8695,125.6232,0.6605,0.6953,0.5653,0.7304
233.2094,139.4045,0.6495,0.6003,0.6469,0.8609
239.4272,137.3953,0.6271,0.7428,0.6362,0.8079
225.942,129.1037,0.6564,0.7297,0.6167,0.9001
242.5518,145.8216,0.6082,0.7389,0.7324,0.9077
238.3997,134.0542,0.623,0.6779,0.6625,0.8747
