max,CPF,ICRO,STO,Rand
260.8959,142.4257,144.5862,190.8322,208.239
298.9469,203.9594,197.8887,241.1476,232.0644
297.6843,147.5045,170.7697,211.9789,201.3552
266.9446,160.1074,180.4172,194.6258,197.9623
296.4757,157.2184,169.4253,214.479,205.0809
280.2659,162.3522,129.3688,183.3567,217.8929
267.1247,137.7796,171.0006,177.7635,212.5794
273.0696,146.4691,161.9262,202.0497,208.5117
262.3881,133.7362,108.5064,228.8874,178.3687
299.1946,111.9171,136.2373,158.2012,209.6539
314.047,158.2819,113.1916,214.5902,237.1031
309.3191,161.0028,171.2966,220.8805,211.7146
269.5514,146.3244,140.4675,182.5498,199.1071
334.1639,196.9139,222.6776,217.2713,255.0781
290.7343,167.3181,156.9083,236.2836,236.0622
285.7089,171.7366,151.2765,156.7111,183.282
297.6701,173.1349,193.5774,228.8574,199.9978
275.2516,143.759,159.2468,204.5007,182.4634
322.2923,176.282,182.0255,209.0815,252.3337
295.1614,182.2199,155.5825,217.5326,195.9873
308.7734,208.6515,177.9885,204.9612,256.4282
270.2285,155.58,129.7888,214.7075,235.8083
294.2758,167.9897,135.3472,249.8018,201.7475
314.541,166.3877,131.8362,235.6988,178.1661
285.1282,141.9634,123.047,189.149,182.6232
300.5121,185.7769,178.8114,262.7103,227.5016
282.7586,139.9274,171.9222,195.9387,235.8442
284.1549,165.4259,162.6113,185.2202,227.7284
247.7923,90.1799,135.9672,167.7714,169.9588
285.2655,159.8023,161.7448,213.6602,158.1864
281.026,154.7703,182.7402,248.2848,184.743
263.1569,159.2268,133.5066,218.5632,221.1317
318.6077,183.0682,194.833,233.6491,251.0673
295.848,180.1731,161.2279,188.4291,232.7882
286.0201,160.7947,173.5839,227.9111,242.2078
278.4578,148.0221,148.0221,201.7542,173.0923
320.9324,204.6809,183.2513,235.3605,238.1361
327.1372,187.1674,160.1623,243.3487,199.4422
301.3829,167.5749,117.6863,191.1433,228.9021
239.0331,149.8114,149.8114,174.8867,185.6081
328.5414,153.0621,157.0311,258.0269,213.0806
280.4755,176.2018,170.4795,166.5146,190.5157
269.2802,136.1886,149.2892,193.1243,187.6823
320.2388,171.5157,176.4618,222.8844,192.8325
267.9091,169.2991,129.4501,210.7239,172.2353
334.2394,198.0922,148.21,263.4811,191.4142
272.1536,156.0561,156.0561,207.1136,182.5077
290.6597,154.0179,148.5176,185.9065,204.0986
268.9576,166.8071,178.7333,205.8026,176.6563
305.5089,175.6551,170.6437,213.3334,249.9642
253.2686,163.5205,109.082,162.9141,172.9196
300.7802,145.9397,137.9867,222.2411,237.4153
264.2942,150.8389,161.7381,181.4075,190.299
286.1267,167.304,174.7627,212.9969,225.8306
270.4459,122.5053,134.6161,158.2751,177.3179
295.9397,167.9949,158.1452,221.1588,207.3854
262.8418,143.0219,142.0818,183.4282,138.482
303.6053,163.3934,146.1288,203.2141,225.7653
316.3839,176.2312,172.0667,234.4945,218.6508
321.9895,200.3448,176.3925,251.0823,272.6219
267.2778,167.3568,142.8122,194.7548,187.7793
273.8262,168.0643,141.0624,225.069,213.1755
267.0567,155.7029,127.0491,236.7727,215.8941
286.9395,137.4623,149.7126,166.0371,203.9168
233.2382,147.4878,132.2709,165.9314,144.6477
278.3708,164.8792,159.2685,229.548,180.365
291.4271,157.395,150.0459,211.8166,248.5811
327.6936,180.5168,150.646,247.7805,284.0279
292.1875,176.9332,160.7308,199.9441,225.5029
296.1628,187.0363,130.745,243.7434,227.5195
280.1901,128.9172,160.2396,186.5615,202.2865
298.8376,162.9726,136.2389,217.773,167.9078
300.4323,148.0936,171.0238,215.7885,237.4785
293.9585,139.4108,132.6313,194.6841,174.8032
282.8434,152.7191,152.7191,200.2032,231.4453
293.9894,181.6291,139.9401,183.6281,137.3321
296.9028,147.9574,150.6456,212.063,197.6005
265.9521,167.5326,172.2948,216.305,176.8826
241.1999,147.9858,158.347,161.9381,167.9712
281.5458,156.1791,127.2461,218.1729,214.4671
275.3426,107.5425,166.0239,185.1277,221.4825
307.0197,216.1144,141.8953,241.58,242.9822
300.7193,181.4,163.9128,224.3346,221.2741
288.5559,156.2491,167.8422,220.3166,248.4912
303.916,168.0579,135.838,194.6108,223.2208
252.5712,156.6984,168.1349,177.5887,196.9905
276.1513,168.3862,101.9031,178.8284,215.7315
274.0687,178.324,178.324,195.1356,212.3164
313.9675,201.3736,193.1857,257.2119,249.1968
270.5842,173.8729,149.8076,208.4592,207.9012
288.6707,183.9957,172.1301,192.8096,169.4969
297.0956,160.7977,169.7155,221.1755,229.9355
314.0783,182.7688,191.5054,186.0789,223.311
300.6621,134.6787,144.9189,224.9461,227.9038
302.1983,138.8159,164.262,190.6415,230.7675
316.197,192.7322,135.798,217.3954,199.8692
264.2944,132.8803,155.8257,163.4161,181.179
304.2699,163.301,178.2203,235.3117,223.693
274.8134,131.8682,120.3258,179.0197,175.794
262.347,147.4102,150.5992,197.7565,182.6923
282.4248,172.818,133.2986,210.5203,189.5871
296.7559,171.4607,145.7135,222.3041,213.2732
266.4691,131.2151,110.4023,174.201,188.264
301.4746,145.6165,183.6862,203.5714,191.1824
254.7639,149.9923,145.6617,189.0003,195.3609
282.5455,168.1518,168.1518,192.1951,202.4284
278.6349,143.3648,180.132,223.6224,222.5809
267.5523,166.1451,130.0305,208.8887,161.2013
272.8983,146.519,150.2415,212.8631,202.6816
275.0413,134.9416,149.1826,158.9039,179.2858
261.4287,148.0364,141.2798,182.5208,179.6049
265.9439,175.6883,125.0113,176.9391,174.1911
338.5399,227.9989,157.6983,211.0903,232.0299
251.3755,128.4901,128.2978,175.1546,204.5986
288.3907,219.4079,155.9962,215.3776,184.8657
260.8324,125.5328,138.5521,177.5904,166.8289
299.5406,168.347,171.788,188.8093,180.9886
258.2492,155.3253,146.0768,217.5131,186.6724
268.9968,161.4276,172.6293,212.6831,169.3992
242.6846,124.5955,123.478,188.1124,180.1839
285.7774,135.904,147.8007,189.2219,207.938
313.7649,172.972,151.5947,228.8673,225.2229
272.4566,130.5356,132.2249,183.91,180.2375
315.8111,216.4486,162.3686,215.9353,203.7055
297.8743,186.9505,180.7214,238.0317,241.1091
288.2484,168.8665,154.4943,230.754,187.6813
291.2185,150.751,153.3446,189.84,192.9843
273.4236,139.8403,142.1822,171.7338,130.5946
310.7313,145.795,162.6431,190.8505,199.0969
284.4399,177.5626,175.9257,195.4692,185.7676
274.2355,130.1097,158.1697,219.2981,206.3273
307.8097,192.4353,150.7887,250.2945,225.4468
289.1857,154.2835,131.895,217.5089,214.3008
333.3703,154.315,184.9552,234.4378,233.1043
287.8378,158.6929,99.7031,229.6062,198.6259
272.3271,120.4626,122.3097,165.427,167.6197
304.1179,181.8377,142.1459,216.6746,219.2389
262.9926,136.0132,140.5007,195.4707,177.5828
271.929,139.7815,136.2867,217.0148,144.5844
297.7306,121.7228,120.7572,213.4342,193.5409
291.2502,185.7547,127.1841,219.0539,209.7182
288.6086,169.1154,179.5795,205.912,240.2097
307.706,205.0439,164.6738,213.5604,232.0181
259.3096,132.9969,156.2488,163.2495,164.3288
287.4619,171.5605,171.5605,187.5615,226.874
