max,CPF,ICRO,STO,Rand
289.1212,148.5996,138.0941,223.1321,231.075
245.2191,129.9934,159.7151,214.0601,210.1524
283.6977,196.3309,157.096,255.2708,228.6661
288.3711,183.5919,158.3383,233.6955,258.538
283.0723,187.6284,171.5323,237.0089,232.021
292.3245,185.563,210.3636,236.5554,247.235
298.3225,189.3026,148.6782,240.5994,193.3896
259.9807,140.2178,125.1103,198.2649,213.3687
323.5315,197.2549,181.2758,274.6535,264.9363
303.4931,182.7934,152.949,240.7434,220.819
309.9736,206.4984,192.0212,273.2643,249.0515
270.4548,169.2997,141.976,209.3723,208.7785
284.4642,177.9723,164.7129,231.9375,251.715
280.7013,147.9108,144.9234,214.1773,231.4812
313.5845,195.3873,156.6619,251.4164,256.1293
282.6352,178.0582,127.6849,227.6665,214.0229
303.5156,161.0657,213.5029,259.8612,260.778
311.5848,159.8211,167.3885,259.1414,269.869
286.4248,176.9549,122.8538,209.892,204.2281
295.3519,181.5912,188.4604,246.5894,253.1434
298.4715,181.8501,158.5988,262.479,240.4066
280.6737,158.4971,125.5064,199.4041,202.2338
262.4502,125.6334,132.4794,209.8926,201.9488
288.3134,176.4442,159.2292,236.7739,240.6484
265.6382,182.1708,154.7681,227.0626,226.189
276.5587,155.8742,168.0531,181.2709,210.5889
276.5461,171.1958,132.1321,235.9461,216.1625
257.2964,135.329,139.3571,206.1583,179.6233
293.7244,132.7919,130.3656,214.7574,216.761
296.7144,186.0102,184.3466,235.1584,242.0136
248.3386,145.3761,107.7819,197.4116,189.9413
296.7609,186.3654,165.9551,248.7628,229.5307
278.2154,180.6055,173.0281,237.8223,236.0973
297.5785,199.4596,153.7518,214.3683,224.671
249.4088,147.2755,123.1505,205.159,217.8906
268.5631,192.2288,152.7829,228.4401,231.0439
278.5091,182.9307,152.8021,240.0345,202.2796
288.2992,198.4793,150.2766,220.5469,232.9932
293.7514,191.7799,178.8724,240.1398,234.2062
298.7397,168.9021,161.3086,228.9387,246.531
295.7791,187.7129,179.689,271.9151,196.3873
299.5697,160.9454,193.4163,228.1779,198.4936
283.1866,148.0916,141.496,209.4293,190.477
297.4313,193.1618,144.9836,247.2175,235.5338
286.1059,172.5342,157.3115,210.5135,207.5292
293.4716,154.4299,124.6788,227.3405,240.3972
278.9702,179.2266,178.659,234.2354,247.624
295.2009,153.2385,138.3307,239.8443,219.075
300.3437,173.2931,159.0031,250.515,220.9627
313.7102,199.2153,209.197,262.394,268.9542
270.7678,144.0127,135.0186,216.3347,219.6428
263.6842,142.2607,110.1576,196.972,203.9242
278.344,165.1377,171.9245,239.1402,245.1335
264.6153,156.1818,135.0659,214.1485,214.264
275.7377,161.5163,120.3419,223.6509,231.1587
