max,min,CPF,ICRO,STO,Rand
41.0,6.0,0.4,0.4286,0.1714,0.7143
41.0,6.0,0.4857,0.4286,0.1143,0.7143
41.0,6.0,0.3143,0.3143,0.0857,0.8571
41.0,6.0,0.2571,0.4,0.1714,0.6286
41.0,6.0,0.2857,0.4286,0.0857,0.6857
41.0,6.0,0.4,0.4,0.0571,0.6571
41.0,6.0,0.3714,0.3429,0.2,0.8286
41.0,6.0,0.3429,0.4286,0.0857,0.6857
41.0,6.0,0.4,0.4,0.0571,0.6
41.0,6.0,0.2571,0.4286,0.1429,0.6286
41.0,6.0,0.2857,0.3143,0.1143,0.6286
41.0,6.0,0.4571,0.3714,0.1143,0.8571
41.0,6.0,0.3714,0.4286,0.0571,0.6
41.0,6.0,0.3429,0.3714,0.1429,0.6286
41.0,6.0,0.4857,0.3429,0.0857,0.7714
41.0,6.0,0.3714,0.3143,0.0571,0.6857
41.0,6.0,0.2857,0.3143,0.0857,0.6
41.0,6.0,0.2571,0.4571,0.0571,0.8571
41.0,6.0,0.4571,0.3429,0.0857,0.6857
41.0,6.0,0.4,0.4286,0.1143,0.6
41.0,6.0,0.3143,0.4286,0.0286,0.6857
41.0,6.0,0.2857,0.2571,0.0571,0.6857
41.0,6.0,0.3143,0.4286,0.1429,0.7429
41.0,6.0,0.4571,0.4571,0.0286,0.7429
41.0,6.0,0.2286,0.4286,0.1429,0.6857
41.0,6.0,0.3143,0.3429,0.1143,0.7143
41.0,6.0,0.3429,0.3143,0.0571,0.7429
41.0,6.0,0.3429,0.3143,0.0571,0.5143
41.0,6.0,0.3143,0.4286,0.1143,0.6571
41.0,6.0,0.4571,0.4571,0.1429,0.6
41.0,6.0,0.2571,0.2857,0.1143,0.7143
41.0,6.0,0.3143,0.4857,0.1714,0.6857
41.0,6.0,0.4286,0.3429,0.0571,0.6286
41.0,6.0,0.2857,0.2857,0.0857,0.6857
41.0,6.0,0.5143,0.4,0.0286,0.7429
41.0,6.0,0.2857,0.2857,0.1143,0.6571
41.0,6.0,0.3429,0.4286,0.1143,0.6571
41.0,6.0,0.3714,0.4571,0.0286,0.7429
41.0,6.0,0.3714,0.3429,0.1143,0.6286
41.0,6.0,0.3143,0.4286,0.1714,0.6571
41.0,6.0,0.4571,0.4286,0.1714,0.7143
41.0,6.0,0.3714,0.4286,0.0857,0.6571
41.0,6.0,0.2286,0.3714,0.1429,0.7714
41.0,6.0,0.3714,0.3429,0.0571,0.7429
41.0,6.0,0.3143,0.4857,0.0857,0.7714
41.0,6.0,0.3429,0.3714,0.1429,0.7143
41.0,6.0,0.5143,0.3143,0.0857,0.6286
41.0,6.0,0.2857,0.3714,0.0571,0.7714
41.0,6.0,0.2286,0.3143,0.0857,0.7429
41.0,6.0,0.4286,0.4,0.0286,0.7143
41.0,6.0,0.2,0.2857,0.0286,0.5714
41.0,6.0,0.4286,0.4286,0.2,0.7714
41.0,6.0,0.3429,0.3714,0.1714,0.6857
41.0,6.0,0.3143,0.3143,0.0571,0.7143
41.0,6.0,0.3714,0.4286,0.1714,0.6571
41.0,6.0,0.3429,0.2571,0.1143,0.6286
41.0,6.0,0.2857,0.4,0.0857,0.7714
41.0,6.0,0.4857,0.4857,0.1429,0.6571
41.0,6.0,0.3714,0.2286,0.0571,0.7143
41.0,6.0,0.3714,0.4571,0.1429,0.7429
41.0,6.0,0.3143,0.4,0.0857,0.4857
41.0,6.0,0.2857,0.3714,0.1143,0.6571
41.0,6.0,0.2286,0.3143,0.1429,0.6857
41.0,6.0,0.3429,0.3429,0.0571,0.8
41.0,6.0,0.4286,0.4,0.0857,0.6286
41.0,6.0,0.3714,0.5143,0.0857,0.6286
41.0,6.0,0.4,0.4,0.1143,0.6
41.0,6.0,0.2571,0.4571,0.0571,0.7143
41.0,6.0,0.3429,0.4571,0.2571,0.8286
41.0,6.0,0.3143,0.3429,0.1429,0.6571
41.0,6.0,0.2857,0.3429,0.0286,0.8
41.0,6.0,0.3143,0.3429,0.1429,0.5714
41.0,6.0,0.2857,0.4286,0.1143,0.6286
41.0,6.0,0.2571,0.3429,0.1429,0.5429
41.0,6.0,0.2286,0.4286,0.0571,0.4857
41.0,6.0,0.2571,0.3429,0.0,0.7429
41.0,6.0,0.2571,0.4571,0.1143,0.6571
41.0,6.0,0.2,0.3714,0.0286,0.5143
41.0,6.0,0.3143,0.4286,0.0857,0.5143
41.0,6.0,0.4857,0.3714,0.0571,0.7714
41.0,6.0,0.4286,0.3714,0.0571,0.6857
41.0,6.0,0.3429,0.3714,0.1429,0.6571
41.0,6.0,0.4286,0.4,0.1429,0.7143
41.0,6.0,0.2,0.4286,0.0571,0.6857
41.0,6.0,0.3143,0.4286,0.2571,0.7714
41.0,6.0,0.3429,0.4,0.1714,0.7143
41.0,6.0,0.3714,0.4286,0.1143,0.7714
41.0,6.0,0.4857,0.2857,0.1143,0.6
41.0,6.0,0.2571,0.2571,0.0857,0.6
41.0,6.0,0.3714,0.4,0.1429,0.7714
41.0,6.0,0.2571,0.2571,0.1429,0.6571
41.0,6.0,0.3143,0.4571,0.1143,0.6571
41.0,6.0,0.3143,0.4857,0.1143,0.7714
41.0,6.0,0.4286,0.4,0.1429,0.5429
41.0,6.0,0.2857,0.3429,0.0571,0.7429
41.0,6.0,0.5143,0.3429,0.0857,0.6
41.0,6.0,0.2,0.3429,0.0286,0.6286
41.0,6.0,0.3714,0.4,0.1143,0.7429
41.0,6.0,0.3429,0.3143,0.1429,0.6
41.0,6.0,0.3143,0.4857,0.1714,0.5714
41.0,6.0,0.3143,0.3714,0.1714,0.7143
41.0,6.0,0.3429,0.3143,0.0857,0.6571
41.0,6.0,0.3143,0.4286,0.0857,0.7429
41.0,6.0,0.3143,0.2,0.1143,0.5714
41.0,6.0,0.3714,0.3714,0.1143,0.6286
41.0,6.0,0.3714,0.4286,0.0571,0.6571
41.0,6.0,0.4286,0.2857,0.1429,0.7714
