max,min,CPF,ICRO,STO,Rand
239.385,145.4193,0.6708,0.6996,0.7511,0.985
252.3959,155.2193,0.7406,0.7469,0.9279,0.917
259.267,150.7305,0.7515,0.7326,0.8599,0.865
244.2074,168.1335,0.7361,0.6393,0.9707,1.0
270.4378,154.2806,0.7643,0.7598,0.9138,0.8725
263.5649,153.6043,0.7849,0.7189,0.8898,0.9246
267.3792,163.5231,0.7428,0.7645,0.7699,1.0
279.9117,164.5112,0.6326,0.773,0.9238,1.0
251.6422,155.9117,0.7301,0.5663,0.9372,0.9599
248.4673,161.5614,0.7693,0.7109,0.9676,0.8946
268.3869,148.8953,0.7003,0.6854,0.9131,0.9532
253.6654,158.8132,0.7477,0.685,0.854,0.9635
249.4305,150.0219,0.7533,0.6815,0.9574,1.0
258.0211,174.6802,0.8026,0.6922,0.9105,0.9219
255.3375,150.7844,0.7192,0.5989,0.8977,0.8939
238.8949,149.742,0.7529,0.623,0.9598,0.947
254.0567,157.0528,0.712,0.6575,0.8815,0.8507
242.3421,147.4236,0.7422,0.6362,0.878,0.8766
267.1773,159.5977,0.7598,0.7736,0.8484,0.9145
249.8651,158.607,0.7836,0.6217,0.8453,0.9887
257.8393,160.3905,0.6719,0.6547,0.8788,0.9405
253.1022,165.6677,0.7138,0.5949,0.9305,0.9139
275.1573,171.4625,0.6585,0.6194,0.8758,0.9139
257.8542,168.959,0.745,0.6219,0.9647,0.9104
276.2867,188.0367,0.7038,0.6455,0.8922,0.9517
254.5687,149.2366,0.7017,0.7037,0.8466,1.0
240.6237,148.3704,0.805,0.7101,0.9356,0.9417
262.3962,170.2323,0.7009,0.6662,0.9478,1.0
248.9092,165.3458,0.7893,0.6352,0.9,0.9253
253.1688,160.6774,0.7859,0.7611,0.9101,0.9494
258.8414,166.6613,0.6781,0.6291,0.8505,0.9529
255.6965,160.9411,0.7187,0.6382,0.8776,0.9867
258.0187,163.6869,0.7307,0.6364,0.8906,0.9347
258.7542,162.8255,0.6563,0.5513,0.8888,0.9622
281.0663,171.7275,0.7938,0.5519,0.9063,0.9657
231.2085,152.5141,0.7003,0.6143,0.8321,0.9407
245.1588,151.6634,0.6789,0.5939,0.8993,0.9705
