max,CPF,ICRO,STO,Rand
630.0008,339.9155,367.5253,437.6504,500.8332
641.7082,390.048,422.9819,500.3746,527.9891
643.7683,388.6735,377.3912,487.6763,521.0862
623.3296,382.2652,342.5737,461.3239,484.6408
589.5677,413.8737,350.6133,453.6058,500.95
697.4257,429.4696,404.0342,448.5925,505.5092
630.2409,465.8419,426.2205,506.7112,537.3132
612.0531,271.9227,264.4015,479.3851,504.4402
653.902,372.8432,373.7184,462.3534,482.1385
628.6936,453.2406,409.2647,449.8733,528.391
642.1325,414.7805,379.1985,442.4711,511.7842
642.1693,380.6322,360.4073,488.2705,551.1977
581.4541,300.5932,281.0097,423.8835,491.9083
608.8509,342.4643,336.753,435.6467,468.424
619.3822,335.8474,288.5762,433.5892,491.4941
602.0899,408.9033,294.8641,443.0065,537.3213
677.8643,398.7443,372.513,504.2809,577.3552
652.136,397.7734,436.7633,514.0887,563.3708
636.2098,347.3117,377.0862,463.7491,489.9768
656.0252,310.2195,357.1974,448.3638,513.5294
676.3911,408.2594,378.904,494.1169,558.8554
669.258,413.4745,404.4162,474.6312,562.6787
558.1215,271.5625,288.9136,391.3598,442.779
643.7614,359.8945,378.7438,470.6961,490.1077
612.9764,383.665,386.8216,492.3883,452.7072
629.5811,425.6443,380.8827,488.7571,552.394
616.7747,355.819,387.6854,420.2018,502.6145
647.5454,397.7428,379.1898,456.3887,523.5266
626.0293,384.064,374.5948,423.2037,549.593
603.6717,316.5252,265.8831,438.6431,436.5713
663.9291,432.304,378.6115,530.6189,547.6345
651.2409,350.9689,282.3457,466.8245,514.3007
618.1954,301.2341,369.0902,426.4056,482.0066
635.7524,357.6171,344.3937,459.1285,499.4146
629.6402,341.7482,376.9711,417.6832,511.0225
626.9208,401.1733,363.6939,482.6461,564.8641
676.7577,407.3727,384.5097,444.7514,539.9402
638.75,359.7394,370.5059,475.7452,513.636
657.053,363.2355,385.6749,487.7582,551.2058
657.1347,434.6126,415.1613,528.9822,564.6916
581.1881,350.3369,302.179,426.2201,470.3422
660.7481,415.2115,341.6091,534.4363,534.5216
632.1157,388.7476,344.0901,464.5957,483.8167
673.2178,369.6673,366.2075,418.6168,543.8398
679.3859,435.2989,311.2948,466.5123,564.0749
642.1082,377.0917,379.3134,466.9057,504.6272
634.509,360.7057,397.1166,464.7048,516.742
632.8372,323.1727,378.5556,522.0537,482.0961
633.3507,466.0668,383.1299,471.4937,524.0609
610.7086,338.5997,365.5016,481.0445,502.5128
654.9084,352.0121,271.5694,437.783,521.889
606.5245,356.0755,366.3778,402.2089,463.2416
676.5255,391.9205,414.5868,496.4595,572.7313
695.266,418.1008,403.8862,486.4954,503.6001
702.0494,385.2598,421.2046,547.9815,616.7889
655.0224,428.1933,369.7751,496.461,525.1555
637.3843,354.4181,374.9098,452.7086,501.8186
599.5819,374.0309,352.359,387.5604,474.7846
640.4533,364.4291,323.8864,422.8184,458.2652
640.2374,365.363,313.4438,459.9088,544.2375
637.6482,377.0583,377.41,461.4176,512.8316
638.4651,399.8795,406.5215,441.5921,482.9663
614.2545,305.1322,315.3624,465.6762,482.4696
597.6533,371.4233,355.3458,446.3233,489.0503
643.8368,451.8031,401.7119,421.8904,535.6532
628.671,374.6021,395.6603,442.5085,503.9865
625.9169,400.1053,387.7574,443.9883,529.934
611.2888,355.479,353.746,439.0861,481.6748
593.6572,345.6139,348.3544,439.7251,508.975
628.4237,404.7754,359.7718,452.2425,484.2818
623.6517,374.8042,360.2996,451.5251,546.5839
627.323,361.829,326.5917,450.054,506.9482
617.75,355.4616,341.8354,469.0032,496.8898
597.9359,343.6996,371.6123,478.2265,459.4419
679.6357,481.3518,395.4737,467.4235,546.9361
647.455,435.2719,347.93,489.1301,557.0233
664.9326,423.5774,409.4398,497.7673,567.3437
625.3164,356.5611,342.9953,467.9361,536.3729
649.015,347.1819,339.2892,425.038,540.055
639.5024,396.0672,389.6829,430.9702,509.984
567.6896,302.0828,322.4618,378.3982,420.7375
635.6693,352.5964,364.5137,419.0913,525.0455
613.929,328.5192,370.7314,461.8992,512.9225
662.6042,495.4879,425.1596,494.6392,576.0012
634.0342,386.3135,336.6968,464.241,521.4464
626.9223,380.4122,297.3567,484.6764,559.6359
592.082,319.0022,311.6275,445.564,455.6769
596.0216,319.6558,357.9258,418.7692,489.3466
662.8998,397.8441,395.8925,493.7761,541.4976
643.7371,328.6904,366.7359,439.5349,526.3442
644.241,397.4931,413.9991,475.0871,525.2409
659.623,404.4611,323.7908,512.2716,559.7149
629.5446,403.6486,340.1779,452.2786,508.637
618.038,407.9571,335.4071,440.4192,527.9758
570.749,318.1645,283.8701,410.2744,471.7872
672.8429,438.4943,404.322,510.4733,577.2537
654.6444,434.7824,383.9135,463.0119,537.1494
670.8528,417.7837,398.241,513.645,535.3072
616.7393,342.6883,431.069,455.8353,508.8171
677.8251,406.6517,360.8993,512.6824,558.2573
626.2637,366.654,391.2717,507.5578,551.081
627.0894,371.0481,345.1886,460.7929,505.1679
643.7143,252.9986,308.924,457.2887,501.0549
627.6757,431.1398,387.412,469.5188,551.6373
614.5494,315.0979,322.0991,492.4574,515.5082
644.19,423.9872,375.5528,496.3092,490.3326
604.1912,360.8972,307.143,435.7604,495.3277
646.3363,363.9344,352.1064,477.0701,586.3842
633.669,302.9653,367.6244,500.3502,516.0854
624.8923,349.5846,305.8854,460.5157,462.0871
652.3686,345.6894,334.6165,486.1617,523.5162
617.6601,344.0943,368.6152,452.1902,487.6922
628.8971,378.8858,375.3197,477.9204,511.453
587.82,327.4271,328.0924,451.6941,441.8517
649.6164,425.885,379.5019,470.3875,561.5769
631.6783,373.3913,396.1739,455.4481,489.8356
651.5984,410.3965,349.7389,491.1082,543.8749
650.9606,393.3001,380.3688,511.3102,568.6828
666.2345,398.3032,417.5848,472.8441,568.5043
637.5638,363.0223,360.2156,454.1534,532.3213
620.9373,363.3959,340.7946,505.2888,499.9847
647.6144,292.5548,286.0861,420.5762,454.526
651.7776,435.9681,383.186,480.0604,559.2664
604.086,388.9709,318.4393,405.5826,452.311
628.9165,456.3366,355.4645,475.3194,544.8497
574.0172,299.2653,272.6507,391.0997,487.258
594.0049,399.2056,382.6644,421.1722,472.7926
600.8804,334.2705,420.7909,457.0155,474.5648
622.3679,415.0606,426.0218,495.4083,528.2046
581.3382,355.5376,386.7805,420.0001,416.5679
614.5637,388.2803,346.474,436.196,519.8088
640.9175,376.0488,332.7443,471.26,508.2638
661.4754,445.9743,416.0674,483.3246,554.8928
637.9099,319.4647,319.5493,460.3349,530.7283
640.7684,396.8164,392.6832,417.8173,497.7606
665.2426,381.7048,412.2598,492.5922,498.5846
575.741,284.4054,318.6995,446.4042,500.5835
629.7629,348.0011,355.099,437.0531,519.7294
634.3999,438.4304,431.0582,490.8351,532.5669
636.8152,374.285,329.5897,465.6492,551.7611
591.6822,382.5694,373.8032,406.0228,444.9519
600.7137,364.5444,305.6049,407.3891,493.2325
653.5554,459.3752,392.3329,473.4129,518.6778
637.7873,393.4263,417.8605,480.8926,513.8963
636.6948,430.4488,303.5598,454.5165,493.6151
608.3578,366.5093,363.5241,438.0524,495.584
667.9947,344.4421,363.5845,506.6146,491.6456
605.4037,342.189,392.4878,471.2689,505.3357
