max,min,CPF,ICRO,STO,Rand
204.1736,115.594,0.8791,0.7973,0.8261,0.938
184.0422,96.5367,0.7456,0.6719,0.6929,0.9154
211.9561,128.1704,0.7006,0.7849,0.8587,0.8905
190.6748,114.5672,0.7809,0.818,0.8109,0.9702
166.2434,104.6755,0.6907,0.7211,0.8242,0.9928
214.4855,120.6666,0.7705,0.7205,0.7157,0.8062
201.6748,125.7674,0.7733,0.681,0.7566,0.9479
185.6881,103.1941,0.9001,0.7059,0.8161,0.9032
186.3399,100.3644,0.6964,0.7213,0.7029,0.9217
186.071,110.426,0.8133,0.7246,0.728,0.8381
170.2177,98.2284,0.7529,0.8169,0.8361,0.8638
177.4504,103.557,0.7073,0.6961,0.7111,0.8557
178.4723,105.8356,0.6586,0.7731,0.8096,1.0
187.0003,108.3609,0.7944,0.6904,0.9105,1.0
206.5231,116.5143,0.7844,0.7548,0.7642,0.8048
171.2769,98.2476,0.8913,0.7424,0.9028,0.8967
184.584,116.0796,0.6905,0.7101,0.7164,0.7572
180.2727,109.1011,0.8276,0.6806,0.821,0.9251
183.8955,106.6796,0.8137,0.6948,0.7088,0.9342
182.544,99.3425,0.6145,0.7591,0.7476,1.0
183.1355,113.9006,0.8434,0.75,0.7445,0.8324
190.167,108.7942,0.7993,0.6698,0.8435,0.9472
176.7025,97.2481,0.8262,0.6195,0.8975,0.891
182.7449,109.9236,0.7541,0.6799,0.6847,0.8444
206.7139,123.7949,0.7603,0.6574,0.7848,0.806
167.2926,93.646,0.7661,0.6665,0.709,0.895
184.4205,105.2924,0.886,0.7765,0.7288,0.8401
182.5369,108.5153,0.7715,0.6265,0.7106,0.8975
185.7062,97.5841,0.8037,0.8113,0.7314,1.0
192.8751,111.1035,0.6458,0.721,0.7446,1.0
223.0021,129.8477,0.8543,0.7638,0.9078,0.8911
189.3729,116.5673,0.8059,0.7515,0.8298,0.8547
177.568,90.8223,0.7783,0.7069,0.8155,0.9062
199.0574,118.4452,0.6931,0.6548,0.8683,0.8742
196.3203,121.3592,0.7716,0.7001,0.7907,0.9484
193.9161,101.1975,0.7747,0.8141,0.8438,0.9147
172.9347,91.5656,0.7672,0.7651,0.6984,0.9591
186.7551,104.0568,0.8075,0.7084,0.5675,1.0
189.459,116.0799,0.8966,0.7429,0.7649,1.0
207.947,126.7109,0.7975,0.7614,0.7459,0.9594
168.5825,80.5779,0.7951,0.641,0.8286,0.9073
192.9053,112.1145,0.8208,0.8052,0.9053,0.9094
196.8352,107.7094,0.7463,0.7756,0.5808,0.9563
165.7582,95.6171,0.75,0.7641,0.7836,0.8706
181.8603,110.6625,0.7168,0.7886,0.7155,0.8586
195.3995,112.8677,0.7546,0.7167,0.8498,0.9675
184.6066,113.5442,0.7703,0.6771,0.7355,0.9546
171.69,105.2003,0.8003,0.7431,0.8166,0.9631
175.6392,98.7838,0.7895,0.6519,0.8348,0.9519
203.8664,118.1408,0.7865,0.6603,0.6971,0.8016
179.823,101.3942,0.7173,0.6409,0.7558,0.8256
193.6131,119.5441,0.8614,0.7123,0.9012,0.9306
166.6323,96.5925,0.771,0.8256,0.7267,0.8635
182.7713,101.8097,0.7758,0.7805,0.6912,0.6825
179.9052,114.5189,0.7856,0.637,0.7142,0.9439
192.583,107.4548,0.7958,0.7104,0.8052,0.8923
209.7122,124.1808,0.7639,0.7986,0.7666,0.958
195.2096,118.473,0.8252,0.6703,0.748,0.8892
180.2969,101.973,0.8853,0.6793,0.8592,0.8765
205.0453,115.5456,0.6948,0.7466,0.7281,0.7796
198.8428,121.7385,0.7779,0.6449,0.83,0.8365
