max,CPF,ICRO,STO,Rand
289.5197,206.9268,186.2597,232.5144,231.5894
319.4638,199.3896,186.3763,253.5871,261.7626
278.9856,157.1203,166.8009,224.9147,254.8676
289.7358,159.4417,162.4487,226.1544,233.251
303.3035,169.8461,169.0225,238.6895,214.6922
298.8195,198.6388,162.268,245.6952,189.9998
285.5845,218.1448,181.9284,266.1892,242.1643
289.2709,154.222,193.8409,241.0396,244.7251
322.4653,181.7922,154.0328,255.9089,236.1445
271.4374,146.9434,134.3804,205.458,203.3609
285.0341,168.272,181.9841,227.1422,237.6053
290.2116,163.1915,176.5748,235.5458,226.8936
268.3187,165.5473,154.1884,199.7524,195.145
274.1437,197.5942,166.0113,245.3478,217.3796
299.5154,130.0586,159.0451,228.9746,279.418
251.9107,129.4,146.7142,200.5772,185.6421
301.4545,229.126,192.6416,247.7094,246.0791
276.0457,151.5451,152.7549,219.931,220.0982
286.2901,162.7775,140.8685,202.3229,198.3838
320.0166,190.4546,172.1009,240.4529,254.6867
291.8685,160.7288,130.2177,235.0696,217.3835
324.8282,234.8548,184.9476,266.2216,243.9081
275.8685,150.4131,143.1858,230.5233,237.9831
276.1987,198.5401,171.5168,222.2216,223.086
272.4764,188.3669,157.0885,224.5677,201.4892
266.028,122.3217,166.2916,220.4873,210.0827
295.0436,153.2967,176.0405,242.8678,254.7707
310.642,189.5431,193.7424,259.5846,243.5334
263.0126,178.7228,175.1007,221.9157,197.8318
306.892,178.3732,157.9325,243.938,262.3144
305.0447,177.655,188.8531,246.228,266.1262
274.9114,152.7658,147.2137,203.8566,222.5422
310.4524,199.8008,124.7461,249.9371,207.992
323.182,240.4817,195.967,269.863,246.606
335.7362,231.8352,195.1832,268.9383,232.6211
309.5652,198.4829,179.2364,268.1256,263.2309
264.9657,182.6758,145.7975,219.0149,241.2735
322.6304,167.8702,206.4257,259.9847,265.697
306.6403,207.0904,168.9014,246.9599,228.9376
297.9406,171.5355,172.6427,243.6879,199.4028
284.9991,195.777,160.2179,218.2924,208.674
305.5949,193.1998,154.4187,266.6429,276.0056
297.4373,219.1452,181.7755,243.6692,240.0651
295.6429,186.8452,183.4574,245.6258,266.0933
314.49,179.7125,205.8945,275.5317,277.9696
308.4325,191.0997,188.3354,224.3423,234.7303
295.6145,163.8481,175.9799,240.2059,222.3041
270.215,152.6111,163.0513,210.6029,189.0348
251.9426,159.3186,138.0789,214.377,211.0029
270.8583,173.0899,168.0794,224.637,246.8879
285.6669,148.3103,128.7497,194.7249,175.4447
270.6178,156.9316,162.9882,220.7441,205.7938
305.4962,179.925,194.4181,255.4194,236.0515
305.5267,192.5295,169.2331,255.8524,256.3246
299.3063,161.3278,190.1238,240.4847,216.5595
297.858,178.8909,175.7934,250.6019,248.8716
286.2742,181.3316,151.0553,221.5495,198.3255
286.2942,191.7925,185.8423,243.1903,219.8256
331.4869,222.2002,213.4204,267.8991,281.4244
305.0224,187.7248,166.3373,258.4044,218.0266
278.3759,167.4935,178.2712,214.9111,189.2372
309.837,204.3593,192.4473,243.4531,250.1103
260.131,159.3931,157.1288,220.8446,199.0569
302.7534,206.1197,157.9987,246.8048,249.1436
300.9766,145.5298,160.6668,235.8022,259.2567
286.0945,188.2451,154.354,235.0814,256.6548
305.1019,161.967,151.5851,227.5798,197.7307
281.7289,166.976,174.8832,224.9809,263.832
305.3589,210.8276,167.2354,245.3961,266.6885
320.4335,194.6173,180.7888,252.635,260.3225
268.2921,173.0345,146.3866,210.0456,200.8636
313.8391,168.6429,157.1214,238.6204,248.5633
321.0797,197.6612,189.8922,266.1249,223.3391
292.2702,188.4773,176.7613,255.5088,247.1512
326.2887,200.0512,167.9858,245.6232,225.101
294.8405,233.1938,150.0346,248.9789,254.2244
284.1687,156.0027,148.4455,246.7043,209.2064
296.5758,219.2274,150.3598,225.4606,216.9355
288.6037,168.1671,146.1411,210.8631,214.4872
295.6093,163.0178,176.3379,234.6518,224.6458
