max,CPF,ICRO,STO,Rand
420.5665,311.8219,343.072,374.7774,369.647
471.1868,360.5619,356.3503,418.874,418.6401
517.7363,380.9704,412.8997,429.9439,430.9308
419.5772,324.1532,324.7923,382.0595,347.4984
426.8803,326.5733,323.518,381.9136,386.9131
447.5032,304.5022,335.8778,405.4712,407.4504
462.0754,323.6333,364.739,391.2372,411.0313
482.9865,362.0443,387.6901,424.5047,441.4945
442.5169,322.3853,320.7142,376.2343,356.2181
505.4819,376.9098,422.7444,461.0654,448.1347
471.4738,348.5652,376.3889,419.6068,431.6506
475.5516,342.9876,367.0386,387.5707,371.6792
465.0384,389.5463,387.8227,420.787,407.107
501.0338,371.996,388.2461,435.1795,461.0144
506.6746,398.2224,423.0064,440.2529,454.7013
451.0907,317.571,363.9349,421.5908,397.1824
444.0755,354.8289,374.3367,394.2373,323.9044
447.5114,327.7753,339.9202,405.7687,418.7803
491.4184,366.5545,415.0858,442.7746,405.6251
507.3796,386.0747,423.0981,421.3349,404.2
465.8322,364.7569,385.7595,418.6928,416.2253
482.8986,392.8706,389.7159,442.9863,449.956
487.9795,388.9895,384.4517,435.7015,404.1393
469.1309,348.0874,350.2114,388.2656,403.9946
445.2205,373.5872,364.4546,415.8533,396.3524
463.9757,316.0877,331.0697,379.3766,418.6239
471.0717,360.8418,389.3759,413.5152,395.4792
453.9149,338.9619,332.1248,388.4421,402.0814
493.0066,388.9293,340.226,426.3446,422.1177
435.2759,344.4283,337.63,381.3563,377.6925
455.7062,344.5268,346.111,413.3056,378.6677
445.9382,332.0437,328.705,393.5593,397.339
444.3068,331.4076,371.8175,377.9771,403.7698
426.5323,288.5348,289.0835,382.6844,370.8683
440.5084,353.889,335.7681,363.9908,384.9807
472.6397,339.05,346.6679,395.8057,398.7063
419.9955,309.044,316.1187,379.2707,385.8193
426.6958,321.1953,324.3225,378.692,388.442
464.167,348.2851,340.3438,415.0668,405.6022
450.3611,336.4689,363.4137,398.6108,383.6814
449.8261,328.3104,336.6246,374.8883,385.9156
468.8135,358.204,381.0903,394.811,411.1631
506.8528,394.3214,419.5452,455.3487,424.5513
448.655,330.4051,359.9504,384.4838,368.9404
397.7492,312.1517,321.9341,345.2994,356.5068
453.3345,344.2587,368.8666,380.9076,410.8667
452.1888,358.1526,338.606,413.1643,387.112
474.3392,332.2662,392.0108,402.1277,422.796
431.4408,326.8375,346.1504,376.5488,345.3743
422.8242,309.3601,299.8549,368.7915,366.8367
438.0429,332.5194,318.3174,399.4136,399.6439
463.0199,312.3115,318.7272,360.6222,394.1934
466.5949,363.5424,360.5885,417.8712,407.8631
448.0439,337.2278,364.4444,374.4319,392.3924
436.1804,343.0494,369.3036,397.9958,382.4755
445.775,352.1455,364.7901,389.1639,401.1458
466.1426,348.8252,363.9351,394.403,401.5264
488.1721,375.2489,412.9039,439.0747,424.305
496.7782,366.6093,397.3335,415.9696,414.3481
470.9919,299.1479,386.5203,410.7867,401.8536
457.2735,336.7892,366.2501,390.3092,386.735
464.2534,349.3104,342.2016,414.7817,371.112
431.0333,296.4474,320.658,355.798,379.306
458.7434,331.5214,339.7784,407.6469,403.2573
481.3365,349.0949,381.9084,430.1259,425.2265
440.6837,353.2099,380.7101,408.2852,381.8806
439.4267,356.1228,343.2869,395.5235,381.5064
456.4037,340.2288,378.8534,397.9333,374.1997
460.7069,341.3412,337.022,391.0477,375.1992
478.1544,328.0868,369.0978,416.2238,398.4289
459.0742,338.1036,382.9843,400.3724,385.4299
450.5453,336.898,345.5349,403.719,404.1962
484.4205,326.5266,391.7119,416.8169,403.4864
461.4784,362.4505,346.2329,414.1157,410.2361
427.2669,306.8049,328.0944,377.9265,385.7402
439.2019,322.6213,361.968,397.7645,383.4808
457.7558,318.5545,354.8873,410.7187,393.0451
457.5111,355.5741,362.8537,417.2913,410.8482
